City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,296.37,72,81,5.81,ZA,1669903460
1,ushuaia,-54.8,-68.3,281.98,85,100,4.62,AR,1669903259
2,okhotsk,59.3833,143.3,253.47,99,100,4.41,RU,1669903538
3,hilo,19.7297,-155.09,300.53,92,100,3.09,US,1669903538
4,vila franca do campo,37.7167,-25.4333,290.48,69,38,3.02,PT,1669903511
5,kandi,11.1342,2.9386,309.32,13,66,0.77,BJ,1669903538
6,kamaishi,39.2667,141.8833,275.85,71,20,2.49,JP,1669903539
7,port blair,11.6667,92.75,300.39,81,100,3.38,IN,1669903539
8,hasaki,35.7333,140.8333,281.37,79,100,5.34,JP,1669903539
9,east london,-33.0153,27.9116,298.27,75,7,4.11,ZA,1669903251
10,taltal,-25.4,-70.4833,292.92,71,2,2.95,CL,1669903540
11,filingue,14.3521,3.3168,306.5,10,40,3.34,NE,1669903540
12,locri,38.2414,16.2623,288.74,66,25,4.64,IT,1669903540
13,dudinka,69.4058,86.1778,257.26,98,100,2.84,RU,1669903541
14,cherskiy,68.75,161.3,255.09,98,100,6.01,RU,1669903541
15,lapua,62.9693,23.0088,272.1,93,100,1.08,FI,1669903541
16,atherton,53.5237,-2.4935,281.09,90,46,0.89,GB,1669903542
17,castro,-24.7911,-50.0119,297.21,65,11,3.75,BR,1669903542
18,bredasdorp,-34.5322,20.0403,299.1,46,51,8.65,ZA,1669903542
19,saint-philippe,-21.3585,55.7679,299.92,77,53,2.29,RE,1669903542
20,vaini,-21.2,-175.2,297.24,100,20,0.0,TO,1669903542
21,yellowknife,62.456,-114.3525,250.07,98,100,1.07,CA,1669903339
22,qaanaaq,77.484,-69.3632,241.1,83,10,3.07,GL,1669903543
23,dikson,73.5069,80.5464,267.32,94,100,8.88,RU,1669903295
24,sao joao da barra,-21.6403,-41.0511,298.56,84,99,8.56,BR,1669903369
25,akyab,20.15,92.9,299.76,78,0,5.51,MM,1669903544
26,cabo san lucas,22.8909,-109.9124,290.71,70,8,1.75,MX,1669903510
27,takoradi,4.8845,-1.7554,302.46,66,100,3.72,GH,1669903545
28,jibuti,11.5,42.5,298.17,49,2,5.55,DJ,1669903545
29,ocos,14.5094,-92.1933,298.02,75,25,2.35,GT,1669903545
30,mataura,-46.1927,168.8643,283.42,90,82,3.63,NZ,1669903546
31,fortuna,40.5982,-124.1573,279.34,96,100,3.09,US,1669903546
32,isangel,-19.55,169.2667,299.41,86,100,3.32,VU,1669903546
33,wewak,-3.5534,143.6268,299.75,84,100,5.16,PG,1669903546
34,khatanga,71.9667,102.5,261.04,94,100,5.51,RU,1669903547
35,botwood,49.1499,-55.3482,276.43,87,83,8.99,CA,1669903547
36,woodward,36.4337,-99.3904,274.72,54,0,6.69,US,1669903547
37,bilma,18.6853,12.9164,300.29,15,6,1.64,NE,1669903548
38,talnakh,69.4865,88.3972,255.16,99,100,0.44,RU,1669903549
39,yenagoa,4.9247,6.2642,306.08,46,50,1.63,NG,1669903549
40,albany,42.6001,-73.9662,274.58,51,4,1.79,US,1669903549
41,potosi,-19.5836,-65.7531,284.63,50,40,4.12,BO,1669903549
42,nishihara,26.1842,127.7558,291.75,72,75,7.2,JP,1669903550
43,buraydah,26.326,43.975,296.91,32,13,3.89,SA,1669903550
44,carnarvon,-24.8667,113.6333,294.32,75,3,8.06,AU,1669903550
45,vanimo,-2.6741,141.3028,298.44,88,100,3.46,PG,1669903551
46,santander,43.4647,-3.8044,285.07,73,75,3.13,ES,1669903189
47,nikolskoye,59.7035,30.7861,268.04,87,99,1.43,RU,1669903551
48,kushima,31.4583,131.2333,281.44,69,74,2.89,JP,1669903552
49,punta arenas,-53.15,-70.9167,286.21,47,40,16.46,CL,1669903552
50,cape town,-33.9258,18.4232,299.21,59,97,4.47,ZA,1669903299
51,aranos,-24.1333,19.1167,308.08,15,94,2.08,NA,1669903552
52,maua,-23.6678,-46.4614,300.57,48,34,3.27,BR,1669903400
53,jamestown,42.097,-79.2353,270.95,91,100,6.69,US,1669903552
54,rikitea,-23.1203,-134.9692,296.26,74,63,5.09,PF,1669903553
55,hobart,-42.8794,147.3294,285.07,66,100,1.54,AU,1669903553
56,port elizabeth,-33.918,25.5701,298.76,75,92,1.34,ZA,1669903443
57,ulagan,50.6321,87.9563,249.34,83,27,0.75,RU,1669903553
58,port alfred,-33.5906,26.891,294.92,84,29,2.24,ZA,1669903554
59,eureka,40.8021,-124.1637,279.49,96,100,0.45,US,1669903554
60,hamilton,39.1834,-84.5333,270.5,72,0,3.09,US,1669903554
61,camopi,3.1655,-52.3158,301.52,70,54,1.95,GF,1669903554
62,butaritari,3.0707,172.7902,299.58,82,21,5.5,KI,1669903554
63,kapaa,22.0752,-159.319,295.33,88,0,4.12,US,1669903555
64,saint-augustin,51.226,-58.6502,274.88,90,100,8.53,CA,1669903555
65,vadinsk,53.6916,43.0574,264.1,92,77,1.94,RU,1669903555
66,chokurdakh,70.6333,147.9167,255.62,98,100,1.8,RU,1669903555
67,arbazh,57.6804,48.3065,259.81,99,82,0.97,RU,1669903555
68,parvatsar,26.8833,74.7667,290.83,29,0,1.34,IN,1669903555
69,leh,34.1667,77.5833,270.82,31,100,0.89,IN,1669903556
70,georgetown,5.4112,100.3354,299.95,84,20,4.12,MY,1669903472
71,ribeira grande,38.5167,-28.7,293.37,68,75,5.14,PT,1669903556
72,sorland,67.667,12.6934,278.07,75,75,2.06,NO,1669903556
73,yambio,4.5721,28.3955,297.82,77,99,2.66,SS,1669903556
74,ambon,-3.6954,128.1814,300.47,76,100,2.27,ID,1669903557
75,souillac,-20.5167,57.5167,298.63,68,55,3.93,MU,1669903557
76,itoman,26.1247,127.6694,292.16,72,75,7.2,JP,1669903557
77,arraial do cabo,-22.9661,-42.0278,298.07,83,40,10.8,BR,1669903557
78,goderich,43.7501,-81.7165,274.77,65,100,11.32,CA,1669903558
79,new norfolk,-42.7826,147.0587,284.87,65,49,0.49,AU,1669903558
80,bandarbeyla,9.4942,50.8122,299.55,80,45,9.11,SO,1669903558
81,upernavik,72.7868,-56.1549,257.62,92,100,9.16,GL,1669903558
82,bluff,-46.6,168.3333,283.6,68,48,8.86,NZ,1669903558
83,namibe,-15.1961,12.1522,296.74,73,51,4.9,AO,1669903559
84,alexandria,31.2156,29.9553,293.85,54,0,4.73,EG,1669903256
85,avarua,-21.2078,-159.775,298.18,94,75,6.17,CK,1669903555
86,partizanskoye,55.5006,94.39,254.74,94,100,3.84,RU,1669903560
87,tuktoyaktuk,69.4541,-133.0374,251.87,100,99,1.91,CA,1669903560
88,mahibadhoo,3.7833,72.9667,300.4,73,69,1.12,MV,1669903560
89,cidreira,-30.1811,-50.2056,297.26,84,100,7.25,BR,1669903561
90,shimoda,34.6667,138.95,283.21,80,99,1.41,JP,1669903561
91,tecoanapa,16.5167,-98.75,297.6,85,14,1.52,MX,1669903561
92,boyolangu,-8.1181,111.8935,297.06,80,100,0.8,ID,1669903561
93,busselton,-33.65,115.3333,286.34,88,0,4.63,AU,1669903562
94,warrnambool,-38.3833,142.4833,283.62,81,3,4.09,AU,1669903562
95,volterra,43.4003,10.86,283.38,56,87,4.65,IT,1669903562
96,mahebourg,-20.4081,57.7,298.85,70,26,3.96,MU,1669903285
97,korla,41.7597,86.1469,266.11,20,0,1.65,CN,1669903563
98,bethel,41.3712,-73.414,276.79,57,100,6.69,US,1669903563
99,celestun,20.8667,-90.4,297.4,87,15,4.94,MX,1669903564
100,tommot,58.9564,126.2925,251.06,92,100,4.68,RU,1669903502
101,saskylakh,71.9167,114.0833,240.4,100,100,2.11,RU,1669903564
102,marinette,45.1,-87.6307,265.42,62,80,4.03,US,1669903564
103,narrabri,-30.3167,149.7833,287.88,78,0,5.25,AU,1669903564
104,chuy,-33.6971,-53.4616,296.76,85,88,4.22,UY,1669903565
105,hirara,24.8,125.2833,296.1,77,100,11.36,JP,1669903565
106,visnes,59.3556,5.2242,279.38,70,0,2.57,NO,1669903565
107,paita,-5.0892,-81.1144,294.6,73,70,4.02,PE,1669903366
108,rjukan,59.8789,8.5941,273.17,85,100,0.62,NO,1669903566
109,malaryta,51.7905,24.074,269.34,91,94,2.97,BY,1669903566
110,gilgit,35.9221,74.3087,280.42,45,100,0.6,PK,1669903566
111,puerto escondido,15.85,-97.0667,294.61,88,40,4.12,MX,1669903567
112,nouadhibou,20.931,-17.0347,292.31,72,90,7.68,MR,1669903290
113,yar-sale,66.8333,70.8333,252.14,94,14,4.11,RU,1669903567
114,nome,64.5011,-165.4064,263.62,97,100,1.46,US,1669903352
115,poum,-20.2333,164.0167,300.73,83,100,4.92,NC,1669903567
116,volda,62.1476,6.0741,278.99,93,0,0.0,NO,1669903278
117,flinders,-34.5833,150.8552,291.14,70,61,1.7,AU,1669903567
118,kaitangata,-46.2817,169.8464,281.62,74,40,4.96,NZ,1669903568
119,ilulissat,69.2167,-51.1,266.16,68,75,9.77,GL,1669903568
120,ancud,-41.8697,-73.8203,284.13,58,73,1.89,CL,1669903568
121,kataysk,56.289,62.5841,258.23,92,100,2.56,RU,1669903569
122,north bend,43.4065,-124.2243,276.96,96,100,2.57,US,1669903569
123,baraki barak,33.9675,68.9486,282.11,35,100,1.03,AF,1669903569
124,luderitz,-26.6481,15.1594,295.29,63,30,11.12,NA,1669903569
125,pocone,-16.2567,-56.6228,308.61,32,54,2.61,BR,1669903570
126,giyon,8.5333,37.9833,295.18,24,17,6.4,ET,1669903570
127,huarmey,-10.0681,-78.1522,294.14,79,24,2.39,PE,1669903381
128,majene,-3.5403,118.9707,299.09,83,88,2.31,ID,1669903570
129,constitucion,-35.3333,-72.4167,291.36,48,0,4.19,CL,1669903571
130,jaguaruna,-28.615,-49.0256,298.09,78,100,4.05,BR,1669903571
131,mehamn,71.0357,27.8492,274.12,80,75,5.14,NO,1669903571
132,kamyshla,54.1169,52.1426,263.57,96,98,1.76,RU,1669903571
133,mazyr,52.0495,29.2456,264.28,94,55,1.96,BY,1669903571
134,fenoarivo atsinanana,-17.3667,49.4167,299.59,71,8,3.52,MG,1669903572
135,torbay,47.6666,-52.7314,276.64,88,100,2.68,CA,1669903572
136,hovd,48.0056,91.6419,253.88,75,43,1.79,MN,1669903572
137,buin,-33.7333,-70.75,297.62,33,0,1.12,CL,1669903572
138,salta,-24.7859,-65.4117,294.35,70,83,2.03,AR,1669903572
139,lardos,36.0942,28.0157,290.05,68,54,5.32,GR,1669903573
140,aabybro,57.1584,9.7367,277.58,87,100,2.06,DK,1669903573
141,high level,58.5169,-117.136,251.71,88,100,2.13,CA,1669903573
142,dubbo,-32.25,148.6167,286.22,82,0,3.09,AU,1669903573
143,tucumcari,35.1717,-103.725,272.06,69,0,6.17,US,1669903573
144,henties bay,-22.116,14.2845,291.73,77,6,7.4,NA,1669903574
145,halifax,44.6453,-63.5724,280.07,90,93,4.92,CA,1669903455
146,caravelas,-17.7125,-39.2481,301.97,67,100,3.12,BR,1669903574
147,severo-kurilsk,50.6789,156.125,270.32,63,86,8.07,RU,1669903574
148,margate,51.3813,1.3862,281.43,91,56,4.17,GB,1669903543
149,yulara,-25.2406,130.9889,299.91,16,2,2.53,AU,1669903574
150,faya,18.3851,42.4509,290.44,52,19,1.79,SA,1669903575
151,sungairaya,0.7,108.9,298.73,87,100,1.5,ID,1669903575
152,puerto ayora,-0.7393,-90.3518,296.13,90,80,3.13,EC,1669903575
153,moyeuvre-grande,49.2517,6.0475,280.33,94,100,0.45,FR,1669903575
154,huescar,37.811,-2.5412,286.07,42,98,3.05,ES,1669903465
155,khanu woralaksaburi,16.0617,99.8606,298.06,85,97,0.86,TH,1669903576
156,dombarovskiy,50.7587,59.5386,257.55,91,18,3.5,RU,1669903576
157,birin,26.8865,88.0718,283.64,68,0,2.26,NP,1669903576
158,ambilobe,-13.2,49.05,299.66,73,81,2.93,MG,1669903577
159,lavrentiya,65.5833,-171.0,268.79,93,100,3.7,RU,1669903577
160,adrar,20.5022,-10.0711,301.81,10,9,1.72,MR,1669903577
161,neiafu,-18.65,-173.9833,298.53,94,40,0.0,TO,1669903578
162,bone,51.9669,12.1396,275.31,86,100,2.47,DE,1669903578
163,airai,-8.9266,125.4092,289.08,92,100,0.75,TL,1669903578
164,acarau,-2.8856,-40.12,302.53,61,62,7.79,BR,1669903578
165,dhidhdhoo,6.8833,73.1,300.76,70,54,1.09,MV,1669903579
166,wanning,18.8003,110.3967,294.61,92,100,7.08,CN,1669903579
167,arman,59.7,150.1667,263.08,89,100,1.4,RU,1669903579
168,mackay,-21.15,149.2,293.53,77,99,6.83,AU,1669903579
169,lasa,46.6166,10.7002,277.61,87,94,0.86,IT,1669903580
170,muli,2.9167,73.5667,300.25,74,34,2.5,MV,1669903580
171,kroya,-7.6331,109.2461,299.23,79,100,1.21,ID,1669903581
172,hithadhoo,-0.6,73.0833,300.78,63,52,2.23,MV,1669903581
173,nanortalik,60.1432,-45.2371,270.13,75,4,14.09,GL,1669903581
174,itarema,-2.9248,-39.9167,302.78,59,68,7.24,BR,1669903581
175,natal,-5.795,-35.2094,299.51,83,75,6.17,BR,1669903440
176,grand gaube,-20.0064,57.6608,298.92,66,43,2.24,MU,1669903582
177,lincoln,40.8,-96.667,273.78,59,0,10.8,US,1669903397
178,meulaboh,4.1363,96.1285,297.69,90,100,0.67,ID,1669903350
179,husavik,66.0449,-17.3389,275.46,75,3,8.01,IS,1669903568
180,richards bay,-28.783,32.0377,300.82,57,4,7.63,ZA,1669903376
181,cockburn town,21.4612,-71.1419,300.14,65,0,7.37,TC,1669903364
182,vestmannaeyjar,63.4427,-20.2734,280.7,70,75,11.83,IS,1669903584
183,iqaluit,63.7506,-68.5145,257.98,60,100,8.05,CA,1669903584
184,kodiak,57.79,-152.4072,276.88,60,0,17.49,US,1669903584
185,fallon,39.4735,-118.7774,276.08,48,0,5.66,US,1669903584
186,batsfjord,70.6345,29.7185,273.11,80,75,4.12,NO,1669903448
187,sao felix do xingu,-6.6447,-51.995,302.27,69,100,1.07,BR,1669903585
188,half moon bay,37.4636,-122.4286,285.54,85,100,11.32,US,1669903585
189,kruisfontein,-34.0033,24.7314,297.53,50,68,5.41,ZA,1669903585
190,college,64.8569,-147.8028,258.47,84,100,2.57,US,1669903585
191,manuk mangkaw,4.8,119.85,300.79,74,100,2.44,PH,1669903585
192,pinawa,50.1489,-95.8811,260.3,87,100,3.35,CA,1669903586
193,tasiilaq,65.6145,-37.6368,276.24,84,100,1.79,GL,1669903586
194,fairbanks,64.8378,-147.7164,258.48,84,100,2.57,US,1669903586
195,geraldton,-28.7667,114.6,291.38,72,75,3.6,AU,1669903586
196,dobryanka,58.4619,56.4165,259.23,94,17,1.87,RU,1669903587
197,colares,38.7992,-9.4469,290.92,67,0,5.81,PT,1669903587
198,stettler,52.3168,-112.7186,245.79,100,100,2.76,CA,1669903587
199,clyde river,70.4692,-68.5914,242.24,79,0,1.46,CA,1669903588
200,ballina,-28.8667,153.5667,289.27,99,100,7.86,AU,1669903588
201,port lincoln,-34.7333,135.8667,288.52,85,0,7.19,AU,1669903589
202,grove city,39.8815,-83.093,269.91,75,0,2.57,US,1669903589
203,atuona,-9.8,-139.0333,298.21,80,15,6.1,PF,1669903589
204,hualmay,-11.0964,-77.6139,294.32,76,7,3.41,PE,1669903589
205,gamba,-2.65,10.0,301.51,72,100,3.29,GA,1669903589
206,palauig,15.435,119.9045,300.44,75,73,2.46,PH,1669903589
207,angoche,-16.2325,39.9086,299.58,68,100,4.24,MZ,1669903590
208,kavaratti,10.5669,72.642,300.87,72,39,1.67,IN,1669903590
209,waingapu,-9.6567,120.2641,299.17,84,100,1.09,ID,1669903590
210,ponta do sol,32.6667,-17.1,296.49,69,11,2.64,PT,1669903590
211,esperance,-33.8667,121.9,291.41,90,2,8.41,AU,1669903591
212,bengkulu,-3.8004,102.2655,297.63,89,100,1.4,ID,1669903466
213,douentza,14.9951,-2.9517,306.46,10,16,2.21,ML,1669903591
214,sola,-13.8833,167.55,300.76,77,78,5.19,VU,1669903592
215,faanui,-16.4833,-151.75,299.48,79,79,5.96,PF,1669903592
216,yichang,30.7144,111.2847,276.51,65,100,1.02,CN,1669903592
217,zastron,-30.3023,27.084,303.28,17,95,3.7,ZA,1669903592
218,ende,-8.8432,121.6623,298.86,85,100,0.42,ID,1669903593
219,lompoc,34.6391,-120.4579,284.14,95,20,2.57,US,1669903593
220,ixtapa,20.7,-105.2,294.39,88,75,0.0,MX,1669903593
221,carballo,43.213,-8.691,287.98,68,0,3.11,ES,1669903322
222,srednekolymsk,67.45,153.6833,246.9,97,100,8.34,RU,1669903593
223,port hardy,50.6996,-127.4199,266.09,67,5,3.06,CA,1669903594
224,las vegas,36.175,-115.1372,279.64,45,0,2.06,US,1669903594
225,hastings,50.8552,0.5729,283.78,85,99,3.34,GB,1669903329
226,ketchikan,55.3422,-131.6461,265.41,67,0,1.54,US,1669903594
227,lebu,-37.6167,-73.65,288.02,52,0,7.06,CL,1669903594
228,nortelandia,-14.4547,-56.8028,305.86,44,40,3.38,BR,1669903595
229,guerrero negro,27.9769,-114.0611,286.81,83,79,3.82,MX,1669903351
230,san jose,37.3394,-121.895,284.75,76,100,8.49,US,1669903475
231,taoudenni,22.6783,-3.9836,299.11,8,87,3.55,ML,1669903595
232,smithers,54.7804,-127.1743,252.64,95,24,1.13,CA,1669903595
233,kohlu,29.8962,69.252,288.56,20,99,2.2,PK,1669903595
234,sangar,63.9242,127.4739,240.4,95,100,1.32,RU,1669903596
235,aljezur,37.3191,-8.8033,289.22,74,89,3.62,PT,1669903596
236,sala,34.0389,-6.8166,287.53,100,75,6.17,MA,1669903579
237,lac du bonnet,50.2536,-96.0612,260.19,87,100,3.49,CA,1669903596
238,kholtoson,50.2981,103.3097,250.26,91,87,1.22,RU,1669903597
239,itanhaem,-24.1831,-46.7889,301.0,64,6,2.2,BR,1669903597
240,tateyama,34.9833,139.8667,283.2,83,100,3.59,JP,1669903597
241,iquitos,-3.7481,-73.2472,303.17,84,0,5.66,PE,1669903597
242,gasa,31.5,34.4667,295.31,51,0,4.52,PS,1669903598
243,san rafael,-34.6177,-68.3301,296.5,29,6,1.56,AR,1669903598
244,eydhafushi,5.1033,73.0708,300.28,74,59,2.87,MV,1669903598
245,kalianget,-7.05,113.9333,300.95,74,97,2.26,ID,1669903598
246,haines junction,60.7522,-137.5108,260.07,85,100,0.73,CA,1669903598
247,panama city,8.9936,-79.5197,301.58,76,40,2.57,PA,1669903422
248,fukue,32.6881,128.8419,282.71,58,100,8.6,JP,1669903599
249,pascagoula,30.3658,-88.5561,280.18,64,0,4.63,US,1669903599
250,bambous virieux,-20.3428,57.7575,298.83,70,19,3.96,MU,1669903600
251,barrow,71.2906,-156.7887,266.16,86,100,2.57,US,1669903600
252,la palma,33.8464,-118.0467,287.31,74,100,2.06,US,1669903600
253,dicabisagan,17.0818,122.4157,298.79,86,44,3.21,PH,1669903600
254,ayaviri,-14.8864,-70.5889,285.46,10,0,2.21,PE,1669903601
255,kahului,20.8947,-156.47,297.51,88,37,2.24,US,1669903314
256,acapulco,16.8634,-99.8901,298.05,78,20,2.06,MX,1669903561
257,vwawa,-9.1167,32.9333,290.23,89,100,0.98,TZ,1669903601
258,brigham city,41.5102,-112.0155,276.85,52,0,3.42,US,1669903331
259,ta khmau,11.4833,104.95,300.12,73,100,1.97,KH,1669903602
260,port moresby,-9.4431,147.1797,299.11,83,99,1.07,PG,1669903602
261,rosetta,31.4044,30.4164,294.02,60,0,4.73,EG,1669903602
262,mwense,-10.3845,28.698,294.45,88,100,1.01,ZM,1669903602
263,saint george,37.1041,-113.5841,272.48,69,0,0.0,US,1669903575
264,midland,31.9974,-102.0779,276.51,62,0,4.12,US,1669903603
265,bharthana,26.7571,79.2248,292.58,45,0,1.37,IN,1669903603
266,shenjiamen,29.9576,122.298,280.77,92,100,9.34,CN,1669903603
267,touros,-5.1989,-35.4608,302.75,58,78,6.54,BR,1669903571
268,umm lajj,25.0213,37.2685,299.08,48,5,4.81,SA,1669903310
269,salalah,17.0151,54.0924,298.26,66,0,2.48,OM,1669903366
270,lagoa,39.05,-27.9833,290.0,87,5,8.79,PT,1669903320
271,avera,33.194,-82.5271,279.01,42,9,4.45,US,1669903604
272,general roca,-39.0333,-67.5833,297.38,44,0,2.5,AR,1669903605
273,westport,41.1415,-73.3579,277.63,55,0,9.77,US,1669903605
274,miandrivazo,-19.5167,45.4667,307.51,37,17,6.53,MG,1669903605
275,matam,15.6175,-13.3303,308.05,9,14,4.06,SN,1669903605
276,victoria,22.2855,114.1577,289.4,75,82,7.15,HK,1669903562
277,mount gambier,-37.8333,140.7667,282.62,94,9,2.74,AU,1669903606
278,kysyl-syr,63.8986,122.7617,246.71,97,100,2.73,RU,1669903606
279,auki,-8.7676,160.7034,298.73,85,100,2.04,SB,1669903606
280,port hedland,-20.3167,118.5667,300.18,78,0,4.63,AU,1669903606
281,rocha,-34.4833,-54.3333,300.09,64,97,3.04,UY,1669903595
282,vila velha,-20.3297,-40.2925,297.01,98,94,3.21,BR,1669903412
283,belaya gora,68.5333,146.4167,248.57,98,100,3.54,RU,1669903607
284,svetlyy,54.675,20.1347,274.24,83,100,3.35,RU,1669903607
